countyState,GEOID,lon,lat,P_total,P_white,P_black,P_asian,P_native,P_hawaiian,P_others,P_below_middle_school,P_some_high_school,P_high_school_equivalent,P_some_college,P_bachelor_and_above,P_below_poverty,median_age,gini_index,median_household_income,median_rent_per_income,percent_no_internet,Year,State,CountyID,StateCountyName,AllAgesSAIPEPovertyUniverse,AllAgesinPovertyCount,AllAgesinPovertyCountLB90%,AllAgesinPovertyCountUB90%,90%ConfidenceInterval(AllAgesinPovertyCount),AllAgesinPovertyPercent,AllAgesinPovertyPercentLB90%,AllAgesinPovertyPercentUB90%,90%ConfidenceInterval(AllAgesinPovertyPercent),UnderAge18SAIPEPovertyUniverse,UnderAge18inPovertyCount,UnderAge18inPovertyCountLB90%,UnderAge18inPovertyCountUB90%,90%ConfidenceInterval(UnderAge18inPovertyCount),UnderAge18inPovertyPercent,UnderAge18inPovertyPercentLB90%,UnderAge18inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge18inPovertyPercent),Ages5to17inFamiliesSAIPEPovertyUniverse,Ages5to17inFamiliesinPovertyCount,Ages5to17inFamiliesinPovertyCountLB90%,Ages5to17inFamiliesinPovertyCountUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyCount),Ages5to17inFamiliesinPovertyPercent,Ages5to17inFamiliesinPovertyPercentLB90%,Ages5to17inFamiliesinPovertyPercentUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyPercent),UnderAge5SAIPEPovertyUniverse,UnderAge5inPovertyCount,UnderAge5inPovertyCountLB90%,UnderAge5inPovertyCountUB90%,90%ConfidenceInterval(UnderAge5inPovertyCount),UnderAge5inPovertyPercent,UnderAge5inPovertyPercentLB90%,UnderAge5inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge5inPovertyPercent),MedianHouseholdIncomeinDollars,MedianHouseholdIncomeinDollarsLB90%,MedianHouseholdIncomeinDollarsUB90%,90%ConfidenceInterval(MedianHouseholdIncomeinDollars)
St. Francois County (MO),05000US29187,-90.4738684,37.8107068,66627,NA,NA,NA,NA,NA,NA,470,5062,18697,14932,6312,7296,39.7,0.4268,45431,29.4,20.3655030800821,2017,29,29187,St. Francois County (MO),59478,10499,8432,12566,"8,432 to 12,566",17.7,14.2,21.2,14.2 to 21.2,13788,3248,2509,3987,"2,509 to 3,987",23.6,18.2,29,18.2 to 29.0,10138,2255,1713,2797,"1,713 to 2,797",22.2,16.9,27.5,16.9 to 27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,708","$37,803","$45,613","$37,803 to $45,613"
St. Louis County (MO),05000US29189,-90.4459541,38.6407022,998581,684030,238612,39819,1834,271,8883,7747,31886,146304,196490,300433,87235,40.3,0.4859,62572,27.4,11.3325778446752,2017,29,29189,St. Louis County (MO),976021,97993,89792,106194,"89,792 to 106,194",10.0,9.2,10.8,9.2 to 10.8,216288,28435,24557,32313,"24,557 to 32,313",13.1,11.3,14.9,11.3 to 14.9,158311,19096,16229,21963,"16,229 to 21,963",12.1,10.3,13.9,10.3 to 13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,926","$63,189","$66,663","$63,189 to $66,663"
St. Louis city (MO),05000US29510,-90.2445816,38.6356988,311404,144752,145886,10264,762,88,3317,3688,21968,52086,63719,74608,72043,35.3,0.531,40346,29,22.1117672869566,2017,29,29510,St. Louis city (MO),298933,64108,56690,71526,"56,690 to 71,526",21.4,18.9,23.9,18.9 to 23.9,58362,19009,15306,22712,"15,306 to 22,712",32.6,26.3,38.9,26.3 to 38.9,39051,12563,9666,15460,"9,666 to 15,460",32.2,24.8,39.6,24.8 to 39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,876","$38,984","$42,768","$38,984 to $42,768"
DeSoto County (MS),05000US28033,-89.99324,34.874266,175611,119958,46205,2663,416,0,3501,1914,7403,33075,42034,28670,18199,37.2,0.4243,64505,26.7,11.9120562263471,2017,28,28033,DeSoto County (MS),177633,15440,12624,18256,"12,624 to 18,256",8.7,7.1,10.3,7.1 to 10.3,45676,5842,4531,7153,"4,531 to 7,153",12.8,9.9,15.7,9.9 to 15.7,34776,4405,3410,5400,"3,410 to 5,400",12.7,9.8,15.6,9.8 to 15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$66,125","$61,396","$70,854","$61,396 to $70,854"
Forrest County (MS),05000US28035,-89.2594467,31.1885802,75979,NA,NA,NA,NA,NA,NA,815,3437,13358,16853,11700,19704,31.9,0.5268,37275,30.7,23.5726782590067,2017,28,28035,Forrest County (MS),72298,16401,13930,18872,"13,930 to 18,872",22.7,19.3,26.1,19.3 to 26.1,17174,4731,3583,5879,"3,583 to 5,879",27.5,20.8,34.2,20.8 to 34.2,12220,3357,2527,4187,"2,527 to 4,187",27.5,20.7,34.3,20.7 to 34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,394","$35,993","$42,795","$35,993 to $42,795"
Harrison County (MS),05000US28047,-89.0833762,30.4165357,203234,139366,49451,5702,1225,0,1604,2730,11987,39605,49857,26982,40990,35.6,0.4526,42770,31.3,20.276087476417,2017,28,28047,Harrison County (MS),199610,39266,35056,43476,"35,056 to 43,476",19.7,17.6,21.8,17.6 to 21.8,48572,14799,12774,16824,"12,774 to 16,824",30.5,26.3,34.7,26.3 to 34.7,35204,10524,8908,12140,"8,908 to 12,140",29.9,25.3,34.5,25.3 to 34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,709","$44,121","$49,297","$44,121 to $49,297"
Hinds County (MS),05000US28049,-90.4658999,32.2679235,241229,NA,NA,NA,NA,NA,NA,3492,12602,38521,51710,45957,45159,34.4,0.4799,43657,31,18.0135068357766,2017,28,28049,Hinds County (MS),230712,46575,41058,52092,"41,058 to 52,092",20.2,17.8,22.6,17.8 to 22.6,57741,16503,13620,19386,"13,620 to 19,386",28.6,23.6,33.6,23.6 to 33.6,42412,11449,9255,13643,"9,255 to 13,643",27,21.8,32.2,21.8 to 32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,076","$41,264","$46,888","$41,264 to $46,888"
Jackson County (MS),05000US28059,-88.6199906,30.4584911,141241,98840,31706,3863,506,0,4189,2269,6478,30424,32144,21252,25397,38.0,0.4463,54606,28.5,21.0043186087495,2017,28,28059,Jackson County (MS),140602,20359,17327,23391,"17,327 to 23,391",14.5,12.3,16.7,12.3 to 16.7,33038,7135,5762,8508,"5,762 to 8,508",21.6,17.4,25.8,17.4 to 25.8,24898,5478,4475,6481,"4,475 to 6,481",22,18.0,26.0,18.0 to 26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,699","$46,249","$53,149","$46,249 to $53,149"
Jones County (MS),05000US28067,-89.167262,31.6210444,67953,NA,NA,NA,NA,NA,NA,1776,4133,12456,16464,8425,13370,36.8,0.4729,43350,35.7,39.0185133127184,2017,28,28067,Jones County (MS),66404,14122,11886,16358,"11,886 to 16,358",21.3,17.9,24.7,17.9 to 24.7,16911,4670,3644,5696,"3,644 to 5,696",27.6,21.5,33.7,21.5 to 33.7,12226,3427,2664,4190,"2,664 to 4,190",28,21.8,34.2,21.8 to 34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,459","$36,851","$42,067","$36,851 to $42,067"
Lauderdale County (MS),05000US28075,-88.6604488,32.4039981,77755,NA,NA,NA,NA,NA,NA,1504,4431,15711,17630,11135,17469,37.8,0.4672,42364,28,26.8404961872299,2017,28,28075,Lauderdale County (MS),72649,14922,12141,17703,"12,141 to 17,703",20.5,16.7,24.3,16.7 to 24.3,17708,5320,4157,6483,"4,157 to 6,483",30,23.4,36.6,23.4 to 36.6,12843,3661,2776,4546,"2,776 to 4,546",28.5,21.6,35.4,21.6 to 35.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,538","$39,973","$47,103","$39,973 to $47,103"
Lee County (MS),05000US28081,-88.6808868,34.2889645,85381,NA,NA,NA,NA,NA,NA,1074,7436,14652,19262,13538,14675,38.3,0.4626,42235,32.8,23.7044174771899,2017,28,28081,Lee County (MS),83716,11739,9415,14063,"9,415 to 14,063",14.0,11.2,16.8,11.2 to 16.8,21324,4341,3258,5424,"3,258 to 5,424",20.4,15.3,25.5,15.3 to 25.5,15644,3055,2240,3870,"2,240 to 3,870",19.5,14.3,24.7,14.3 to 24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,559","$47,706","$55,412","$47,706 to $55,412"
Madison County (MS),05000US28089,-90.0341603,32.6343703,105114,NA,NA,NA,NA,NA,NA,649,4623,11152,19539,31861,12644,37.6,0.4774,64350,31.8,16.616559044208,2017,28,28089,Madison County (MS),103024,11031,9013,13049,"9,013 to 13,049",10.7,8.7,12.7,8.7 to 12.7,26053,3734,2851,4617,"2,851 to 4,617",14.3,10.9,17.7,10.9 to 17.7,19531,2741,2057,3425,"2,057 to 3,425",14,10.5,17.5,10.5 to 17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$69,820","$64,702","$74,938","$64,702 to $74,938"
Rankin County (MS),05000US28121,-89.9465517,32.262057,150228,NA,NA,NA,NA,NA,NA,2165,7755,30290,30891,29790,10752,37.1,0.3843,62332,22.6,14.8971660781147,2017,28,28121,Rankin County (MS),147217,13642,11160,16124,"11,160 to 16,124",9.3,7.6,11.0,7.6 to 11.0,35224,4197,3168,5226,"3,168 to 5,226",11.9,9.0,14.8,9.0 to 14.8,25941,3092,2336,3848,"2,336 to 3,848",11.9,9.0,14.8,9.0 to 14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,504","$61,158","$69,850","$61,158 to $69,850"
Cascade County (MT),05000US30013,-111.350571,47.3164427,81755,72572,992,738,3673,142,325,548,3317,16572,21078,12943,11861,38.6,0.4703,45138,29.1,20.6108000829408,2017,30,30013,Cascade County (MT),79336,9411,7538,11284,"7,538 to 11,284",11.9,9.5,14.3,9.5 to 14.3,17817,2625,1882,3368,"1,882 to 3,368",14.7,10.5,18.9,10.5 to 18.9,12456,1641,1086,2196,"1,086 to 2,196",13.2,8.7,17.7,8.7 to 17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,882","$44,658","$51,106","$44,658 to $51,106"
Flathead County (MT),05000US30029,-114.0543188,48.3146961,98082,92689,282,340,848,163,679,166,3542,19471,24851,21006,11585,42.3,0.4696,50142,34.9,12.7370859746939,2017,30,30029,Flathead County (MT),98832,10824,8840,12808,"8,840 to 12,808",11.0,9,13.0,9.0 to 13.0,21664,3008,2165,3851,"2,165 to 3,851",13.9,10.0,17.8,10.0 to 17.8,15738,1966,1342,2590,"1,342 to 2,590",12.5,8.5,16.5,8.5 to 16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,389","$54,083","$60,695","$54,083 to $60,695"
Gallatin County (MT),05000US30031,-111.1734431,45.5355586,104502,NA,NA,NA,NA,NA,NA,492,1816,11272,19703,32812,13242,33.7,0.5056,61211,29.1,11.542730299667,2017,30,30031,Gallatin County (MT),104407,10195,8768,11622,"8,768 to 11,622",9.8,8.4,11.2,8.4 to 11.2,21429,1721,1235,2207,"1,235 to 2,207",8,5.7,10.3,5.7 to 10.3,15137,1071,725,1417,"725 to 1,417",7.1,4.8,9.4,4.8 to 9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,446","$56,600","$66,292","$56,600 to $66,292"
Lewis and Clark County (MT),05000US30049,-112.3829537,47.1221333,67282,NA,NA,NA,NA,NA,NA,43,1231,11718,16146,17726,6753,41.6,0.459,63475,25.4,11.9195103177803,2017,30,30049,Lewis and Clark County (MT),66126,5474,4256,6692,"4,256 to 6,692",8.3,6.5,10.1,6.5 to 10.1,14179,1506,1024,1988,"1,024 to 1,988",10.6,7.2,14,7.2 to 14.0,10181,983,636,1330,"636 to 1,330",9.7,6.3,13.1,6.3 to 13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,819","$55,206","$64,432","$55,206 to $64,432"
Missoula County (MT),05000US30063,-113.8926807,47.0272626,116130,106680,715,1855,3019,0,237,434,4447,15886,24861,32019,18709,36.4,0.4981,46550,30,12.8046097433211,2017,30,30063,Missoula County (MT),114009,16351,13965,18737,"13,965 to 18,737",14.3,12.2,16.4,12.2 to 16.4,21970,3238,2434,4042,"2,434 to 4,042",14.7,11.0,18.4,11.0 to 18.4,15867,1907,1339,2475,"1,339 to 2,475",12,8.4,15.6,8.4 to 15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,141","$49,766","$56,516","$49,766 to $56,516"
Yellowstone County (MT),05000US30111,-108.2766564,45.9369867,158437,144305,829,959,6176,0,786,788,4647,35340,31265,34353,11353,38.9,0.4259,57945,26,13.1115520078746,2017,30,30111,Yellowstone County (MT),155274,15983,13475,18491,"13,475 to 18,491",10.3,8.7,11.9,8.7 to 11.9,36480,4591,3524,5658,"3,524 to 5,658",12.6,9.7,15.5,9.7 to 15.5,26535,2853,2102,3604,"2,102 to 3,604",10.8,8.0,13.6,8.0 to 13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,031","$55,233","$60,829","$55,233 to $60,829"
Alamance County (NC),05000US37001,-79.3999353,36.0419739,159688,110933,31088,2245,779,307,11140,3756,9772,27697,41452,24330,25864,39.9,0.4336,45100,27.4,18.1935403688111,2017,37,37001,Alamance County (NC),158154,22721,19712,25730,"19,712 to 25,730",14.4,12.5,16.3,12.5 to 16.3,36232,7461,6207,8715,"6,207 to 8,715",20.6,17.1,24.1,17.1 to 24.1,26777,5205,4258,6152,"4,258 to 6,152",19.4,15.9,22.9,15.9 to 22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,914","$44,010","$51,818","$44,010 to $51,818"
Brunswick County (NC),05000US37019,-78.2276879,34.0387081,126953,NA,NA,NA,NA,NA,NA,610,6425,29090,35151,26984,18025,53.4,0.4748,50692,41.7,15.3117005024756,2017,37,37019,Brunswick County (NC),129743,15429,13130,17728,"13,130 to 17,728",11.9,10.1,13.7,10.1 to 13.7,20312,4357,3383,5331,"3,383 to 5,331",21.5,16.7,26.3,16.7 to 26.3,14874,2870,2084,3656,"2,084 to 3,656",19.3,14.0,24.6,14.0 to 24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,227","$52,923","$59,531","$52,923 to $59,531"
Buncombe County (NC),05000US37021,-82.5304259,35.6093714,256088,226953,15445,3542,959,425,3181,2741,12604,44306,54871,70529,32645,42.6,0.463,50685,28.8,16.0045380938067,2017,37,37021,Buncombe County (NC),250408,28715,24228,33202,"24,228 to 33,202",11.5,9.7,13.3,9.7 to 13.3,47468,8371,6599,10143,"6,599 to 10,143",17.6,13.9,21.3,13.9 to 21.3,34366,5831,4484,7178,"4,484 to 7,178",17,13.1,20.9,13.1 to 20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,271","$48,043","$52,499","$48,043 to $52,499"
Burke County (NC),05000US37023,-81.7061795,35.746182,88851,NA,NA,NA,NA,NA,NA,2153,7015,20344,21355,10414,16523,45.0,0.4493,40345,26.8,26.5684019198546,2017,37,37023,Burke County (NC),87256,14482,12280,16684,"12,280 to 16,684",16.6,14.1,19.1,14.1 to 19.1,16613,3668,2840,4496,"2,840 to 4,496",22.1,17.1,27.1,17.1 to 27.1,12267,2495,1855,3135,"1,855 to 3,135",20.3,15.1,25.5,15.1 to 25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,179","$38,884","$45,474","$38,884 to $45,474"
Cabarrus County (NC),05000US37025,-80.5528682,35.3878448,201590,141332,34402,6212,511,374,12541,3429,8755,30160,45635,42254,23557,37.7,0.4151,63386,24.9,8.76657486016071,2017,37,37025,Cabarrus County (NC),205121,22816,19796,25836,"19,796 to 25,836",11.1,9.6,12.6,9.6 to 12.6,52793,7189,5756,8622,"5,756 to 8,622",13.6,10.9,16.3,10.9 to 16.3,39505,4919,3856,5982,"3,856 to 5,982",12.5,9.8,15.2,9.8 to 15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,167","$59,017","$65,317","$59,017 to $65,317"
Caldwell County (NC),05000US37027,-81.5300759,35.9578566,81449,NA,NA,NA,NA,NA,NA,1233,9060,19544,18501,7932,14100,43.3,0.4547,36301,30.7,22.3542280696424,2017,37,37027,Caldwell County (NC),80922,13222,11472,14972,"11,472 to 14,972",16.3,14.1,18.5,14.1 to 18.5,16491,3649,2918,4380,"2,918 to 4,380",22.1,17.7,26.5,17.7 to 26.5,12404,2337,1766,2908,"1,766 to 2,908",18.8,14.2,23.4,14.2 to 23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,798","$41,239","$48,357","$41,239 to $48,357"
Carteret County (NC),05000US37031,-76.5269665,34.858313,68890,61844,3798,546,285,0,320,1409,2103,15026,19238,13237,7411,48.0,0.4404,51206,26.1,16.5891078310187,2017,37,37031,Carteret County (NC),67826,9050,7613,10487,"7,613 to 10,487",13.3,11.2,15.4,11.2 to 15.4,12160,2540,2031,3049,"2,031 to 3,049",20.9,16.7,25.1,16.7 to 25.1,9206,1776,1393,2159,"1,393 to 2,159",19.3,15.1,23.5,15.1 to 23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,192","$50,315","$56,069","$50,315 to $56,069"
Catawba County (NC),05000US37035,-81.2141513,35.6631822,156459,122004,13875,6466,600,0,10980,2957,10828,33011,37069,22744,18490,41.3,0.4415,48913,25.7,16.2274010840988,2017,37,37035,Catawba County (NC),155573,19427,16537,22317,"16,537 to 22,317",12.5,10.6,14.4,10.6 to 14.4,35038,6539,5259,7819,"5,259 to 7,819",18.7,15.0,22.4,15.0 to 22.4,26092,4460,3506,5414,"3,506 to 5,414",17.1,13.4,20.8,13.4 to 20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,348","$50,864","$55,832","$50,864 to $55,832"
Chatham County (NC),05000US37037,-79.2514542,35.7049939,72243,59488,8033,868,0,0,1187,2335,3461,10641,13178,22522,9732,47.1,0.5104,62961,31.7,13.7286474376925,2017,37,37037,Chatham County (NC),70641,7305,6026,8584,"6,026 to 8,584",10.3,8.5,12.1,8.5 to 12.1,14394,2307,1862,2752,"1,862 to 2,752",16,12.9,19.1,12.9 to 19.1,10843,1539,1206,1872,"1,206 to 1,872",14.2,11.1,17.3,11.1 to 17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,373","$57,687","$69,059","$57,687 to $69,059"
Cleveland County (NC),05000US37045,-81.5571145,35.3346302,97144,NA,NA,NA,NA,NA,NA,1496,7636,19771,22150,13084,20671,40.7,0.4851,36992,29.9,29.19379206153,2017,37,37045,Cleveland County (NC),95316,17958,15523,20393,"15,523 to 20,393",18.8,16.2,21.4,16.2 to 21.4,21195,5635,4513,6757,"4,513 to 6,757",26.6,21.3,31.9,21.3 to 31.9,15799,3965,3122,4808,"3,122 to 4,808",25.1,19.8,30.4,19.8 to 30.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,911","$36,799","$43,023","$36,799 to $43,023"
Craven County (NC),05000US37049,-77.0825413,35.1181789,103445,71552,20612,3215,812,50,3030,1861,5461,16131,24892,17874,15114,37.4,0.4605,49938,29,14.6015832444103,2017,37,37049,Craven County (NC),97516,15942,13733,18151,"13,733 to 18,151",16.3,14,18.6,14.0 to 18.6,22277,5888,4925,6851,"4,925 to 6,851",26.4,22.1,30.7,22.1 to 30.7,15702,4043,3286,4800,"3,286 to 4,800",25.7,20.9,30.5,20.9 to 30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,390","$48,713","$54,067","$48,713 to $54,067"
Cumberland County (NC),05000US37051,-78.8287186,35.0501921,327127,162910,124566,7649,5012,737,7461,3647,12547,52864,80345,51833,59784,32.0,0.4403,45205,29.9,14.5314238714984,2017,37,37051,Cumberland County (NC),315788,58888,53840,63936,"53,840 to 63,936",18.6,17,20.2,17.0 to 20.2,80852,20319,17495,23143,"17,495 to 23,143",25.1,21.6,28.6,21.6 to 28.6,55855,13361,11282,15440,"11,282 to 15,440",23.9,20.2,27.6,20.2 to 27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,065","$42,438","$45,692","$42,438 to $45,692"
Davidson County (NC),05000US37057,-80.2065247,35.7951225,164926,139762,13621,2630,133,0,4359,3117,12625,38479,37457,19956,25583,42.3,0.4338,45678,25.9,17.1752133343967,2017,37,37057,Davidson County (NC),163626,24941,21789,28093,"21,789 to 28,093",15.2,13.3,17.1,13.3 to 17.1,36114,7752,6374,9130,"6,374 to 9,130",21.5,17.7,25.3,17.7 to 25.3,27009,5359,4321,6397,"4,321 to 6,397",19.8,16.0,23.6,16.0 to 23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,595","$44,832","$50,358","$44,832 to $50,358"
Durham County (NC),05000US37063,-78.8779193,36.0365885,306212,158099,113137,15714,669,267,10281,7603,15300,37252,46339,100302,47869,35.1,0.4808,53832,30,12.5661899641867,2017,37,37063,Durham County (NC),299038,47090,42198,51982,"42,198 to 51,982",15.7,14.1,17.3,14.1 to 17.3,65134,15811,13697,17925,"13,697 to 17,925",24.3,21.1,27.5,21.1 to 27.5,44714,10964,9353,12575,"9,353 to 12,575",24.5,20.9,28.1,20.9 to 28.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,045","$56,914","$63,176","$56,914 to $63,176"
Forsyth County (NC),05000US37067,-80.2572892,36.1316671,371511,245900,97584,8532,1513,21,8879,7991,15271,61050,75172,85056,65062,38.0,0.5159,48271,30,16.6633611226995,2017,37,37067,Forsyth County (NC),365758,60638,56174,65102,"56,174 to 65,102",16.6,15.4,17.8,15.4 to 17.8,86286,21690,19457,23923,"19,457 to 23,923",25.1,22.5,27.7,22.5 to 27.7,63725,15082,13374,16790,"13,374 to 16,790",23.7,21.0,26.4,21.0 to 26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,803","$48,581","$53,025","$48,581 to $53,025"
Gaston County (NC),05000US37071,-81.1772556,35.2933443,216965,167912,34358,3627,1004,0,5169,3646,16966,44953,48133,32406,33374,39.8,0.4933,48711,27.9,16.345713528235,2017,37,37071,Gaston County (NC),216831,32751,28824,36678,"28,824 to 36,678",15.1,13.3,16.9,13.3 to 16.9,49182,10661,8876,12446,"8,876 to 12,446",21.7,18.1,25.3,18.1 to 25.3,36080,7646,6333,8959,"6,333 to 8,959",21.2,17.6,24.8,17.6 to 24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,016","$47,495","$52,537","$47,495 to $52,537"
Guilford County (NC),05000US37081,-79.7886652,36.079065,521330,290962,175229,26138,1975,383,14980,10780,24124,85861,99670,119884,93700,37.1,0.4984,47262,30,16.5809845176657,2017,37,37081,Guilford County (NC),511022,73862,67104,80620,"67,104 to 80,620",14.5,13.2,15.8,13.2 to 15.8,116648,22997,19371,26623,"19,371 to 26,623",19.7,16.6,22.8,16.6 to 22.8,85396,15429,12738,18120,"12,738 to 18,120",18.1,14.9,21.3,14.9 to 21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,284","$50,643","$53,925","$50,643 to $53,925"
Harnett County (NC),05000US37085,-78.8716104,35.3686348,130881,86920,27503,916,878,202,8723,2757,6929,24954,31725,16735,20298,34.0,0.4151,51637,28.8,17.8343949044586,2017,37,37085,Harnett County (NC),129077,21178,18674,23682,"18,674 to 23,682",16.4,14.5,18.3,14.5 to 18.3,34697,7952,6773,9131,"6,773 to 9,131",22.9,19.5,26.3,19.5 to 26.3,24903,5478,4599,6357,"4,599 to 6,357",22,18.5,25.5,18.5 to 25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,406","$49,281","$53,531","$49,281 to $53,531"
Henderson County (NC),05000US37089,-82.4796336,35.3364243,114209,NA,NA,NA,NA,NA,NA,2799,5978,22277,27022,25949,12990,47.3,0.4303,54963,27.3,15.0718754577222,2017,37,37089,Henderson County (NC),114379,12263,9858,14668,"9,858 to 14,668",10.7,8.6,12.8,8.6 to 12.8,21912,3833,2907,4759,"2,907 to 4,759",17.5,13.3,21.7,13.3 to 21.7,16316,2681,1981,3381,"1,981 to 3,381",16.4,12.1,20.7,12.1 to 20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,314","$49,110","$53,518","$49,110 to $53,518"
Iredell County (NC),05000US37097,-80.8745449,35.8063558,172916,142713,21633,4410,194,0,1728,2774,8661,34785,37520,31022,18051,40.8,0.4764,55891,24.7,15.0083798453188,2017,37,37097,Iredell County (NC),174351,19691,17365,22017,"17,365 to 22,017",11.3,10,12.6,10.0 to 12.6,40396,6610,5637,7583,"5,637 to 7,583",16.4,14.0,18.8,14.0 to 18.8,30573,4584,3829,5339,"3,829 to 5,339",15,12.5,17.5,12.5 to 17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,559","$53,722","$59,396","$53,722 to $59,396"
Johnston County (NC),05000US37101,-78.3672671,35.513405,191450,149935,31782,536,729,0,3042,3825,11455,33917,43908,30060,24672,38.0,0.393,54719,28,19.6501343315121,2017,37,37101,Johnston County (NC),194775,29365,25987,32743,"25,987 to 32,743",15.1,13.4,16.8,13.4 to 16.8,50036,10728,9276,12180,"9,276 to 12,180",21.4,18.5,24.3,18.5 to 24.3,37420,7304,6221,8387,"6,221 to 8,387",19.5,16.6,22.4,16.6 to 22.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,647","$54,640","$62,654","$54,640 to $62,654"
Lincoln County (NC),05000US37109,-81.2251762,35.4878252,81168,NA,NA,NA,NA,NA,NA,910,4835,18667,20540,12202,10797,44.3,0.4423,49453,28.3,16.9621375205774,2017,37,37109,Lincoln County (NC),81623,10218,8695,11741,"8,695 to 11,741",12.5,10.6,14.4,10.6 to 14.4,17292,2614,2032,3196,"2,032 to 3,196",15.1,11.7,18.5,11.7 to 18.5,13049,1887,1449,2325,"1,449 to 2,325",14.5,11.1,17.9,11.1 to 17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,042","$52,421","$61,663","$52,421 to $61,663"
Mecklenburg County (NC),05000US37119,-80.8338317,35.2468623,1054835,574931,334621,59544,2740,786,55771,20475,37063,121213,202835,313875,126156,35.0,0.478,62978,28,10.6619708438464,2017,37,37119,Mecklenburg County (NC),1060485,120634,110020,131248,"110,020 to 131,248",11.4,10.4,12.4,10.4 to 12.4,254338,42725,37469,47981,"37,469 to 47,981",16.8,14.7,18.9,14.7 to 18.9,182294,28182,24126,32238,"24,126 to 32,238",15.5,13.3,17.7,13.3 to 17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,750","$64,001","$67,499","$64,001 to $67,499"
Moore County (NC),05000US37125,-79.4806639,35.3101631,95776,NA,NA,NA,NA,NA,NA,1358,3043,15082,22965,26150,9657,45.4,0.4585,52279,24,15.6448202959831,2017,37,37125,Moore County (NC),96440,10303,8269,12337,"8,269 to 12,337",10.7,8.6,12.8,8.6 to 12.8,20528,3028,2231,3825,"2,231 to 3,825",14.8,10.9,18.7,10.9 to 18.7,14873,2085,1505,2665,"1,505 to 2,665",14,10.1,17.9,10.1 to 17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,781","$59,109","$66,453","$59,109 to $66,453"
Nash County (NC),05000US37127,-77.9875546,35.9659447,94005,50212,37748,845,434,0,3161,1703,7781,22527,19068,13445,14090,41.8,0.4855,47902,26,22.9941540286368,2017,37,37127,Nash County (NC),92049,14560,12091,17029,"12,091 to 17,029",15.8,13.1,18.5,13.1 to 18.5,20721,4958,3882,6034,"3,882 to 6,034",23.9,18.7,29.1,18.7 to 29.1,15415,3374,2523,4225,"2,523 to 4,225",21.9,16.4,27.4,16.4 to 27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$47,597","$43,672","$51,522","$43,672 to $51,522"
